gc,target,w
0.64,42,105
0.65,25,105
0.66,38,105
0.67,23,105
0.68,12,105
0.69,12,105
0.7,22,105
0.71,6,105
0.72,11,105
0.73,4,105
0.74,5,105
0.75,3,105
0.76,3,105
0.77,3,105
0.78,3,105
0.79,4,105
0.8,1,105
0.2,19,106
0.21,35,106
0.22,49,106
0.23,60,106
0.24,97,106
0.25,224,106
0.26,175,106
0.27,184,106
0.28,212,106
0.29,233,106
0.3,246,106
0.31,309,106
0.32,312,106
0.33,346,106
0.34,325,106
0.35,329,106
0.36,353,106
0.37,367,106
0.38,356,106
0.39,372,106
0.4,332,106
0.41,330,106
0.42,634,106
0.43,276,106
0.44,274,106
0.45,298,106
0.46,251,106
0.47,258,106
0.48,271,106
0.49,272,106
0.5,211,106
0.51,190,106
0.52,192,106
0.53,172,106
0.54,170,106
0.55,173,106
0.56,138,106
0.57,140,106
0.58,216,106
0.59,75,106
0.6,68,106
0.61,63,106
0.62,42,106
0.63,50,106
0.64,36,106
0.65,28,106
0.66,33,106
0.67,18,106
0.68,10,106
0.69,15,106
0.7,11,106
0.71,5,106
0.72,9,106
0.73,8,106
0.74,4,106
0.75,8,106
0.76,2,106
0.77,4,106
0.78,2,106
0.79,5,106
0.8,0,106
0.2,19,107
0.21,76,107
0.22,53,107
0.23,94,107
0.24,84,107
0.25,125,107
0.26,158,107
0.27,181,107
0.28,206,107
0.29,217,107
0.3,247,107
0.31,294,107
0.32,308,107
0.33,329,107
0.34,319,107
0.35,330,107
0.36,710,107
0.37,338,107
0.38,378,107
0.39,319,107
0.4,360,107
0.41,312,107
0.42,315,107
0.43,291,107
0.44,277,107
0.45,280,107
0.46,273,107
0.47,244,107
0.48,268,107
0.49,263,107
0.5,438,107
0.51,199,107
0.52,178,107
0.53,170,107
0.54,172,107
0.55,154,107
0.56,153,107
0.57,111,107
0.58,109,107
0.59,88,107
0.6,72,107
0.61,61,107
0.62,62,107
0.63,33,107
0.64,80,107
0.65,34,107
0.66,26,107
0.67,13,107
0.68,15,107
0.69,11,107
0.7,10,107
0.71,5,107
0.72,8,107
0.73,8,107
0.74,3,107
0.75,4,107
0.76,3,107
0.77,2,107
0.78,4,107
0.79,7,107
0.8,1,107
0.2,21,108
0.21,43,108
0.22,52,108
0.23,81,108
0.24,95,108
0.25,108,108
0.26,149,108
0.27,169,108
0.28,203,108
0.29,207,108
0.3,244,108
0.31,573,108
0.32,320,108
0.33,327,108
0.34,316,108
0.35,342,108
0.36,336,108
0.37,363,108
0.38,363,108
0.39,332,108
0.4,351,108
0.41,343,108
0.42,299,108
0.43,287,108
0.44,566,108
0.45,256,108
0.46,282,108
0.47,249,108
0.48,261,108
0.49,249,108
0.5,196,108
0.51,214,108
0.52,180,108
0.53,175,108
0.54,164,108
0.55,165,108
0.56,292,108
0.57,113,108
0.58,93,108
0.59,78,108
0.6,66,108
0.61,59,108
0.62,51,108
0.63,43,108
0.64,39,108
0.65,30,108
